Geographic;City;percent_completed_hs
TX;Hawkins city;90
WI;Hawkins village;94.3
GA;Hawkinsville city;83.9
PA;Hawley borough;88.1
MN;Hawley city;92.7
TX;Hawley city;79.3
NJ;Haworth borough;97.8
OK;Haworth town;76.7
PA;Hawthorn borough;82.2
IL;Hawthorn Woods village;96
NJ;Hawthorne borough;92.2
NV;Hawthorne CDP;87.4
NY;Hawthorne CDP;90.3
CA;Hawthorne city;73.8
FL;Hawthorne city;84.6
CO;Haxtun town;90.7
NE;Hay Springs village;90.8
IN;Hayden CDP;98
ID;Hayden city;91.9
ID;Hayden Lake city;99.6
AL;Hayden town;83.4
AZ;Hayden town;84
CO;Hayden town;91.7
OH;Haydenville CDP;92.9
LA;Hayes CDP;100
NE;Hayes Center village;79.2
OR;Hayesville CDP;77.1
IA;Hayesville city;85.7
NC;Hayesville town;85.8
OH;Hayesville village;96.8
IA;Hayfield CDP;100
VA;Hayfield CDP;97.6
MN;Hayfield city;95.4
CA;Hayfork CDP;90.2
VA;Haymarket town;93.1
ND;Haynes city;71.4
AR;Haynes town;86.3
LA;Haynesville town;73.4
AL;Hayneville town;72.1
MT;Hays CDP;91.5
NC;Hays CDP;76.9
KS;Hays city;94.5
TX;Hays city;96.2
VA;Haysi town;63.4
PA;Haysville borough;96.6
KS;Haysville city;91.7
MO;Hayti city;72
MO;Hayti Heights city;65.3
SD;Hayti town;92.2
MO;Hayward CDP;88.6
CA;Hayward city;80.1
MN;Hayward city;84.5
WI;Hayward city;86.6
MO;Haywood City village;77.6
KY;Hazard city;78.1
NE;Hazard village;97.8
CT;Hazardville CDP;93.8
KY;Hazel city;84.1
IL;Hazel Crest village;91.2
WA;Hazel Dell CDP;88.5
AL;Hazel Green CDP;88.2
KY;Hazel Green CDP;81
WI;Hazel Green village;93.1
MI;Hazel Park city;82.3
MN;Hazel Run city;83.3
SD;Hazel town;87.2
ID;Hazelton city;67.8
KS;Hazelton city;91.1
ND;Hazelton city;87.5
MO;Hazelwood city;91
AR;Hazen city;76
ND;Hazen city;91.9
GA;Hazlehurst city;78.2
MS;Hazlehurst city;84
IA;Hazleton city;92
PA;Hazleton city;75.2
IN;Hazleton town;89.8
NY;Head of the Harbor village;97.4
AL;Headland city;88.1
OK;Headrick town;69.6
CA;Healdsburg city;87.5
OK;Healdton city;85.7
AK;Healy CDP;93.6
KS;Healy CDP;90
AK;Healy Lake CDP;-
TX;Hearne city;67
MT;Heart Butte CDP;86.1
NE;Heartwell village;84.8
OH;Heath city;86.6
TX;Heath city;97.5
SC;Heath Springs town;78.2
AL;Heath town;80.3
NJ;Heathcote CDP;96.5
FL;Heathrow CDP;95.1
VA;Heathsville CDP;100
OK;Heavener city;65.6
TX;Hebbronville CDP;71.7
CA;Heber CDP;55.2
UT;Heber city;90.2
AR;Heber Springs city;88.3
AZ;Heber-Overgaard CDP;76.9
MT;Hebgen Lake Estates CDP;75.5
OR;Hebo CDP;92.4
KY;Hebron CDP;96.3
PA;Hebron CDP;65.4
WI;Hebron CDP;96.4
NE;Hebron city;91.2
ND;Hebron city;83
KY;Hebron Estates city;86
IN;Hebron town;86.7
MD;Hebron town;92.3
TX;Hebron town;95.9
IL;Hebron village;85.2
OH;Hebron village;80.1
IL;Hecker village;90
PA;Heckscherville CDP;94.1
SD;Hecla city;85.5
MN;Hector city;89.3
AR;Hector town;70.9
WV;Hedgesville town;92.6
TX;Hedley city;75.3
IA;Hedrick city;87.6
TX;Hedwig Village city;95.3
HI;Heeia CDP;94.3
CO;Heeney CDP;82.9
AL;Heflin city;74.3
LA;Heflin village;94.7
PA;Hegins CDP;85.9
PA;Heidelberg borough;91.3
TX;Heidelberg CDP;71.3
MN;Heidelberg city;92.7
MS;Heidelberg town;84.1
PA;Heidlersburg CDP;82.8
ND;Heil CDP;76.5
PA;Heilwood CDP;89.6
ND;Heimdal CDP;100
WV;Helen CDP;43.9
GA;Helen city;95.7
MS;Helena CDP;69.5
AL;Helena city;97.7
MT;Helena city;94.4
MT;Helena Flats CDP;94.6
OK;Helena town;83.8
MT;Helena Valley Northeast CDP;94.6
MT;Helena Valley Northwest CDP;96.9
MT;Helena Valley Southeast CDP;93.4
MT;Helena Valley West Central CDP;95.4
OH;Helena village;89.2
MT;Helena West Side CDP;93.9
AR;Helena-West Helena city;77.1
WI;Helenville CDP;92.2
TN;Helenwood CDP;93.1
OR;Helix city;98.4
PA;Hellertown borough;91.4
NJ;Helmetta borough;92.9
TX;Helotes city;95
UT;Helper city;88
WV;Helvetia CDP;100
NC;Hemby Bridge town;82.5
CA;Hemet city;79.5
NE;Hemingford village;91.5
SC;Hemingway town;93.3
MI;Hemlock CDP;94.5
NY;Hemlock CDP;94.7
PA;Hemlock Farms CDP;96.4
OH;Hemlock village;90.2
TX;Hemphill city;79.4
TX;Hempstead city;68.7
NY;Hempstead village;71.2
AL;Henagar city;71.7
GA;Henderson CDP;99.5
MI;Henderson CDP;87
NY;Henderson CDP;94.3
IA;Henderson city;92.3
KY;Henderson city;84.8
MN;Henderson city;90.8
NE;Henderson city;91.8
NV;Henderson city;92.7
NC;Henderson city;69.5
TN;Henderson city;76.8
TX;Henderson city;77.4
MS;Henderson Point CDP;100
LA;Henderson town;57.1
MD;Henderson town;55.4
WV;Henderson town;58.7
IL;Henderson village;84.7
PA;Hendersonville CDP;90.3
NC;Hendersonville city;85.8
TN;Hendersonville city;93.8
NE;Hendley village;81.3
MN;Hendricks city;90.7
WV;Hendricks town;80.4
OK;Hendrix town;84.4
KY;Hendron CDP;93
MN;Hendrum city;91.1
UT;Henefer town;94.4
WV;Henlawson CDP;75.1
DE;Henlopen Acres town;100
IL;Hennepin village;92.1
OK;Hennessey town;80.6
NH;Henniker CDP;96.2
MN;Henning city;87.7
TN;Henning town;57.5
IL;Henning village;92.2
NC;Henrietta CDP;75.7
MO;Henrietta city;83.8
TX;Henrietta city;89.3
MN;Henriette city;83.3
UT;Henrieville town;86.9
IL;Henry city;90.5
VA;Henry Fork CDP;87.7
SD;Henry town;93.1
TN;Henry town;66
NE;Henry village;71.7
OK;Henryetta city;83.8
IN;Henryville CDP;76.6
AR;Hensley CDP;56.7
IA;Hepburn city;93.8
GA;Hephzibah city;87.4
KS;Hepler city;77
OR;Heppner city;88.4
WV;Hepzibah CDP;88.4
CA;Herald CDP;89.3
MD;Herald Harbor CDP;97.2
IN;Herbst CDP;100
WI;Herbster CDP;98.9
MO;Herculaneum city;86.2
CA;Hercules city;93.3
PA;Hereford CDP;82.2
TX;Hereford city;70.4
KS;Herington city;91.3
KY;Heritage Creek city;80.6
NY;Heritage Hills CDP;95.5
IL;Heritage Lake CDP;100
IN;Heritage Lake CDP;95.7
FL;Heritage Pines CDP;95.2
CT;Heritage Village CDP;96.2
NY;Herkimer village;89.3
CA;Herlong CDP;63.2
MN;Herman city;93.4
NE;Herman village;85.6
MO;Hermann city;89.6
MN;Hermantown city;94.1
PA;Herminie CDP;88.2
OR;Hermiston city;77.9
AR;Hermitage city;72.9
MO;Hermitage city;80.1
PA;Hermitage city;94.5
TX;Hermleigh CDP;84.5
NY;Hermon village;80.6
CA;Hermosa Beach city;99
SD;Hermosa town;92.1
NM;Hernandez CDP;55.2
FL;Hernando Beach CDP;91.2
FL;Hernando CDP;89.8
MS;Hernando city;89.1
PA;Herndon borough;83.1
KS;Herndon city;88
VA;Herndon town;84.3
GA;Heron Bay CDP;98.9
MT;Heron CDP;86.3
MN;Heron Lake city;89.9
SD;Herreid city;92.9
SD;Herrick town;76.5
IL;Herrick village;86.3
NY;Herricks CDP;94.1
UT;Herriman city;97.8
IL;Herrin city;89.7
NY;Herrings village;84.7
MT;Herron CDP;88.6
WA;Herron Island CDP;100
IL;Herscher village;94.2
MI;Hersey village;89.3
PA;Hershey CDP;91.7
NE;Hershey village;91.3
NC;Hertford town;80.2
CA;Hesperia city;77.2
MI;Hesperia village;85.3
LA;Hessmer village;80.3
KS;Hesston city;99.3
OH;Hessville CDP;66.3
LA;Hester CDP;88.1
SD;Hetland town;100
IL;Hettick village;90.2
ND;Hettinger city;97.3
NY;Heuvelton village;91
MN;Hewitt city;92.6
TX;Hewitt city;93.1
WI;Hewitt village;94.7
NY;Hewlett Bay Park village;97
NY;Hewlett CDP;96.6
NY;Hewlett Harbor village;99.2
NY;Hewlett Neck village;99.1
ID;Heyburn city;68.9
IL;Heyworth village;92.9
FL;Hialeah city;70.7
FL;Hialeah Gardens city;75.9
GA;Hiawassee city;87.3
IA;Hiawatha city;94.6
KS;Hiawatha city;94.1
MN;Hibbing city;90.1
HI;Hickam Housing CDP;100
CA;Hickman CDP;78.3
KY;Hickman city;67.1
NE;Hickman city;97.1
KY;Hickory CDP;100
PA;Hickory CDP;96.6
NC;Hickory city;84.3
MI;Hickory Corners CDP;100
TX;Hickory Creek town;95.5
MS;Hickory Flat town;80.2
SC;Hickory Grove town;76.4
KY;Hickory Hill city;99
PA;Hickory Hills CDP;96.9
IL;Hickory Hills city;87.9
AR;Hickory Ridge city;71.6
MS;Hickory town;81.4
OK;Hickory town;72.9
TN;Hickory Valley town;68.4
NY;Hicksville CDP;90.8
OH;Hicksville village;83.1
WV;Hico CDP;78.2
TX;Hico city;77.1
TX;Hidalgo city;61.7
IL;Hidalgo village;79.7
CA;Hidden Hills city;96.5
CO;Hidden Lake CDP;-
CA;Hidden Meadows CDP;96.2
ID;Hidden Springs CDP;97.7
IN;Hidden Valley CDP;96.2
CA;Hidden Valley Lake CDP;91.9
NC;Hiddenite CDP;96
TX;Hideaway city;98.4
OH;Hide-A-Way Hills CDP;100
MS;Hide-A-Way Lake CDP;100
UT;Hideout town;71.5
MO;Higbee city;79.6
AR;Higden town;87.3
CT;Higganum CDP;94.1
TX;Higgins city;78.2
AR;Higginson town;81.5
OH;Higginsport village;72.9
MO;Higginsville city;83
GA;Higgston town;67.7
IA;High Amana CDP;100
NJ;High Bridge borough;94.9
KY;High Bridge CDP;81.7
WA;High Bridge CDP;97.7
NY;High Falls CDP;94.9
MO;High Hill city;81.5
FL;High Point CDP;83.4
NC;High Point city;84.9
MO;High Ridge CDP;89.3
NM;High Rolls CDP;96.7
NC;High Shoals city;72.4
FL;High Springs city;93.9
MD;Highfield-Cascade CDP;86.9
AR;Highfill town;87.3
CA;Highgrove CDP;69
DE;Highland Acres CDP;93.5
FL;Highland Beach town;96.5
MD;Highland Beach town;97.7
IN;Highland CDP;97.5
MD;Highland CDP;98.9
NY;Highland CDP;87.1
AR;Highland city;86.5
CA;Highland city;75
IL;Highland city;91.7
KS;Highland city;92.4
UT;Highland city;98.9
FL;Highland City CDP;92.3
NY;Highland Falls village;93.4
TX;Highland Haven city;96.8
KY;Highland Heights city;91.9
OH;Highland Heights city;96.1
OH;Highland Hills village;68.9
OH;Highland Holiday CDP;60.4
AL;Highland Lake town;94.3
AL;Highland Lakes CDP;97.6
NJ;Highland Lakes CDP;90.7
NM;Highland Meadows CDP;79.3
NJ;Highland Park borough;95.6
PA;Highland Park CDP;77.4
IL;Highland Park city;96.7
MI;Highland Park city;73.9
TX;Highland Park town;98.4
FL;Highland Park village;100
VA;Highland Springs CDP;83.3
IN;Highland town;92.4
OH;Highland village;81.8
WI;Highland village;89.8
TX;Highland Village city;97.3
NJ;Highlands borough;93.6
TX;Highlands CDP;83.8
CO;Highlands Ranch CDP;98.4
NC;Highlands town;96.5
CA;Highlands-Baywood Park CDP;96.2
MO;Highlandville city;87.2
SD;Highmore city;90.6
OH;Highpoint CDP;80.5
PA;Highspire borough;85.6
NJ;Hightstown borough;83.6
NC;Hightsville CDP;81.4
MT;Highwood CDP;97.4
IL;Highwood city;83.1
NV;Hiko CDP;100
WI;Hilbert village;83.1
SC;Hilda town;68.1
UT;Hildale city;70.7
NC;Hildebran town;81.8
NE;Hildreth village;95.8
KS;Hill City city;93.4
MN;Hill City city;87.3
SD;Hill City city;88.1
TX;Hill Country Village city;98
FL;Hill 'n Dale CDP;75.1
WY;Hill View Heights CDP;100
MD;Hillandale CDP;87.6
NY;Hillburn village;89.9
NY;Hillcrest CDP;84.2
MD;Hillcrest Heights CDP;89.6
FL;Hillcrest Heights town;94.3
IL;Hillcrest village;85.8
TX;Hillcrest village;93.2
PA;Hilldale CDP;95.4
PA;Hiller CDP;91.7
OH;Hilliard city;96.5
FL;Hilliard town;80.9
MN;Hillman city;84.6
MI;Hillman village;77.2
CO;Hillrose town;84.6
KY;Hills and Dales city;98.4
OH;Hills and Dales village;97.9
IA;Hills city;93.1
MN;Hills city;85.7
FL;Hillsboro Beach town;97.8
MS;Hillsboro CDP;73.8
NM;Hillsboro CDP;73.6
TN;Hillsboro CDP;92.1
IL;Hillsboro city;78.9
IA;Hillsboro city;83.4
KS;Hillsboro city;84.2
MO;Hillsboro city;85.5
ND;Hillsboro city;88.5
OH;Hillsboro city;82.5
OR;Hillsboro city;88
TX;Hillsboro city;69.8
WI;Hillsboro city;90.7
FL;Hillsboro Pines CDP;100
AL;Hillsboro town;74.6
IN;Hillsboro town;91.4
MD;Hillsboro town;83.8
VA;Hillsboro town;98.3
WV;Hillsboro town;77.6
NH;Hillsborough CDP;70.5
CA;Hillsborough town;97.6
NC;Hillsborough town;87.7
NJ;Hillsdale borough;94.2
KS;Hillsdale CDP;92.6
WY;Hillsdale CDP;100
MI;Hillsdale city;87.3
OK;Hillsdale town;92.5
IL;Hillsdale village;87.7
MO;Hillsdale village;78.7
TX;Hillside Acres CDP;-
NY;Hillside CDP;89.6
NY;Hillside Lake CDP;87.3
IL;Hillside village;77.2
SD;Hillsview town;-
VA;Hillsville town;78.5
GA;Hilltop CDP;71.1
OH;Hilltop CDP;79.8
WV;Hilltop CDP;66.2
TX;Hilltop CDP (Frio County);34.1
TX;Hilltop CDP (Starr County);27.6
MN;Hilltop city;70.2
TX;Hilltop Lakes CDP;94.5
KY;Hillview city;85.6
IL;Hillview village;88.2
CA;Hilmar-Irwin CDP;70.6
HI;Hilo CDP;92.5
TX;Hilshire Village city;94
SC;Hilton Head Island town;93
NY;Hilton village;94.9
GA;Hiltonia town;61.4
MN;Hinckley city;91.7
UT;Hinckley town;86.4
IL;Hinckley village;93.5
KY;Hindman city;74.5
IL;Hindsboro village;90.9
AR;Hindsville town;67.6
NJ;Hi-Nella borough;90.7
OR;Hines city;88.8
VT;Hinesburg CDP;99.7
GA;Hinesville city;90.8
MA;Hingham CDP;98.6
WI;Hingham CDP;96.5
MT;Hingham town;92.4
MT;Hinsdale CDP;90.6
NH;Hinsdale CDP;90.6
IL;Hinsdale village;98.2
IA;Hinton city;95.1
WV;Hinton city;81.2
OK;Hinton town;78.8
CA;Hiouchi CDP;89
GA;Hiram city;90.1
OH;Hiram village;99.1
KY;Hiseville CDP;58.6
AL;Hissop CDP;73.8
TX;Hitchcock city;84.7
OK;Hitchcock town;71.4
SD;Hitchcock town;90.3
OK;Hitchita town;61.4
MN;Hitterdal city;92.4
VA;Hiwassee CDP;93.6
WI;Hixton village;94.5
IN;Hoagland CDP;91.7
WY;Hoback CDP;96.7
AK;Hobart Bay CDP;-
WA;Hobart CDP;95.4
IN;Hobart city;88.4
OK;Hobart city;79.9
NY;Hobart village;92.3
WI;Hobart village;93.8
NM;Hobbs city;72.7
FL;Hobe Sound CDP;89
MO;Hoberg village;69
NC;Hobgood town;67.8
GA;Hoboken city;77.6
NJ;Hoboken city;94
AL;Hobson CDP;63.6
MT;Hobson city;95.1
AL;Hobson City town;77.3
NC;Hobucken CDP;100
DE;Hockessin CDP;94.8
OH;Hockingport CDP;44.3
WA;Hockinson CDP;93.5
LA;Hodge village;88.2
KY;Hodgenville city;74.5
AL;Hodges town;69.3
SC;Hodges town;91.8
IL;Hodgkins village;61.1
CO;Hoehne CDP;82.8
MN;Hoffman city;87.7
IL;Hoffman Estates village;91.8
NC;Hoffman town;69.2
OK;Hoffman town;70.9
IL;Hoffman village;90.9
WA;Hogans Corner CDP;48.2
GA;Hogansville city;76.5
TN;Hohenwald city;80.9
NJ;Ho-Ho-Kus borough;96.8
KS;Hoisington city;86.6
MN;Hokah city;93.2
PA;Hokendauqua CDP;94.1
AL;Hokes Bluff city;89.2
MA;Holbrook CDP;96.5
NY;Holbrook CDP;93.2
AZ;Holbrook city;88.5
NE;Holbrook village;85.2
MS;Holcomb CDP;96.2
KS;Holcomb city;81.6
MO;Holcomb city;72.8
WI;Holcombe CDP;77.9
NC;Holden Beach town;96.9
WV;Holden CDP;79.3
MO;Holden city;83.2
FL;Holden Heights CDP;89.9
UT;Holden town;97.4
OK;Holdenville city;72.5
MN;Holdingford city;95.8
NE;Holdrege city;93
OH;Holgate village;81.5
TX;Holiday Beach CDP;75.3
FL;Holiday CDP;83.7
NJ;Holiday City South CDP;85.3
OH;Holiday City village;100
NJ;Holiday City-Berkeley CDP;82.4
NJ;Holiday Heights CDP;79
IL;Holiday Hills village;89.4
AR;Holiday Island CDP;95.4
IA;Holiday Lake CDP;94.9
OH;Holiday Lakes CDP;94.7
TX;Holiday Lakes town;61.6
PA;Holiday Pocono CDP;90.8
IL;Holiday Shores CDP;95.3
OH;Holiday Valley CDP;91.5
UT;Holladay city;97.2
MA;Holland CDP;93.3
NY;Holland CDP;90.3
AR;Holland city;89.6
IA;Holland city;92.9
MI;Holland city;85.6
MN;Holland city;87.4
NY;Holland Patent village;95.7
IN;Holland town;90.7
MO;Holland town;49.3
TX;Holland town;80.3
OH;Holland village;89.8
MN;Hollandale city;91.5
MS;Hollandale city;68.4
WI;Hollandale village;94.1
OH;Hollansburg village;83.3
KS;Hollenberg city;81
FL;Holley CDP;88.1
OR;Holley CDP;89.7
NY;Holley village;88.4
TX;Holliday city;90.4
MO;Holliday village;84.7
PA;Hollidaysburg borough;94.5
AL;Hollins CDP;68.2
VA;Hollins CDP;87.4
AK;Hollis CDP;89.5
OK;Hollis city;80.1
AL;Hollis Crossroads CDP;71.4
NC;Hollister CDP;68
CA;Hollister city;72.6
ID;Hollister city;76.5
MO;Hollister city;84.7
OK;Hollister town;72.7
NM;Holloman AFB CDP;99.2
KY;Hollow Creek city;96.1
TN;Hollow Rock town;79.4
MN;Holloway city;87.5
OH;Holloway village;81.8
IL;Hollowayville village;98
AR;Holly Grove city;74.7
FL;Holly Hill city;80.6
SC;Holly Hill town;70.7
CO;Holly Hills CDP;97.4
TX;Holly Lake Ranch CDP;92.8
AL;Holly Pond town;90.4
NC;Holly Ridge town;87.6
GA;Holly Springs city;95.8
MS;Holly Springs city;74.6
NC;Holly Springs town;96.1
CO;Holly town;73.9
MI;Holly village;89.4
VA;Hollymead CDP;89.9
KY;Hollyvilla city;84
FL;Hollywood city;86.9
TX;Hollywood Park town;95.3
AL;Hollywood town;71.3
SC;Hollywood town;86.9
WI;Holmen village;96.9
FL;Holmes Beach city;98.6
NE;Holmesville CDP;85.7
OH;Holmesville village;89.4
IA;Holstein city;94.2
NE;Holstein village;87.2
AL;Holt CDP;75
MI;Holt CDP;94.9
MN;Holt city;91.7
MO;Holt city;80.1
KS;Holton city;91.5
IN;Holton town;76.1
MO;Holts Summit city;85.4
NY;Holtsville CDP;92.5
AL;Holtville CDP;85.6
CA;Holtville city;57.1
HI;Holualoa CDP;92.4
AK;Holy Cross city;86.1
IA;Holy Cross city;90.5
CO;Holyoke city;84.6
MA;Holyoke city;77.3
KS;Holyrood city;95.5
WY;Homa Hills CDP;86.2
KS;Home CDP;100
WA;Home CDP;93.2
CA;Home Garden CDP;54.6
CA;Home Gardens CDP;61.7
PA;Homeacre-Lyndora CDP;93.7
IN;Homecroft town;95
ID;Homedale city;66.6
CA;Homeland CDP;61
FL;Homeland CDP;79.5
GA;Homeland city;81.9
SC;Homeland Park CDP;71.4
MN;Homer CDP;92.2
AK;Homer city;95.9
PA;Homer City borough;92.6
IL;Homer Glen village;94
GA;Homer town;86.2
LA;Homer town;79
IL;Homer village;94.8
MI;Homer village;88.6
NE;Homer village;94.8
NY;Homer village;92.8
GA;Homerville city;70.6
FL;Homestead Base CDP;70.9
PA;Homestead borough;90.5
IA;Homestead CDP;100
NM;Homestead CDP;100
FL;Homestead city;69.1
TX;Homestead Meadows North CDP;64.9
TX;Homestead Meadows South CDP;50.8
CA;Homestead Valley CDP;81.3
MO;Homestead village;80.9
MO;Homestown city;66.3
PA;Hometown CDP;93.3
WV;Hometown CDP;86.1
IL;Hometown city;89.3
PA;Homewood borough;74.7
CA;Homewood Canyon CDP;100
AL;Homewood city;93.5
IL;Homewood village;95.4
OH;Homeworth CDP;83.5
OK;Hominy city;79.5
FL;Homosassa CDP;88.5
FL;Homosassa Springs CDP;80.4
VA;Honaker town;79.5
HI;Honalo CDP;88.1
HI;Honaunau-Napoopoo CDP;90.4
CA;Honcut CDP;91.9
AZ;Hondah CDP;81.5
TX;Hondo city;73.8
SC;Honea Path town;77.9
NY;Honeoye CDP;97.3
NY;Honeoye Falls village;96.4
PA;Honesdale borough;84.3
PA;Honey Brook borough;89.4
TX;Honey Grove city;78.6
UT;Honeyville city;98.5
HI;Honokaa CDP;85.3
HI;Honomu CDP;94.1
MI;Honor village;92
CA;Hood CDP;80.6
OR;Hood River city;85.6
WA;Hoodsport CDP;60.1
OK;Hooker city;79.5
NC;Hookerton town;76.3
TX;Hooks city;84.6
NH;Hooksett CDP;95.1
PA;Hookstown borough;80.4
AK;Hoonah city;87.7
CA;Hoopa CDP;83.9
AK;Hooper Bay city;75
NE;Hooper city;92
UT;Hooper city;94.5
CO;Hooper town;90.9
NC;Hoopers Creek CDP;93.7
IL;Hoopeston city;82.5
ND;Hoople city;69.5
IL;Hooppole village;91.6
NY;Hoosick Falls village;92.3
OK;Hoot Owl town;-
OH;Hooven CDP;66
AL;Hoover city;95.2
WV;Hooverson Heights CDP;88.1
PA;Hooversville borough;83.1
PA;Hop Bottom borough;87.5
NJ;Hopatcong borough;94.1
AK;Hope CDP;100
NJ;Hope CDP;86.7
AR;Hope city;67.4
ID;Hope city;100
KS;Hope city;91.5
ND;Hope city;94.1
NC;Hope Mills town;91.1
IN;Hope town;92
RI;Hope Valley CDP;98.9
NM;Hope village;57.7
MA;Hopedale CDP;93.8
IL;Hopedale village;88.4
OH;Hopedale village;90.2
PA;Hopeland CDP;68.4
NJ;Hopewell borough;98
PA;Hopewell borough;86.7
TN;Hopewell CDP;93
VA;Hopewell city;80.9
NY;Hopewell Junction CDP;88.3
IL;Hopewell village;94.3
SC;Hopkins CDP;67.2
MN;Hopkins city;91.4
MO;Hopkins city;86.6
IL;Hopkins Park village;68.1
MI;Hopkins village;94.7
KY;Hopkinsville city;84.9
MA;Hopkinton CDP;95
RI;Hopkinton CDP;91.9
IA;Hopkinton city;89.2
CA;Hopland CDP;84.5
PA;Hopwood CDP;88.1
WA;Hoquiam city;85.1
KS;Horace city;86.5
ND;Horace city;95.6
AR;Horatio city;62.3
NE;Hordville village;85.9
WI;Horicon city;87.2
MO;Horine CDP;93.7
TX;Horizon City city;84.5
FL;Horizon West CDP;97.4
AL;Horn Hill town;66.3
MS;Horn Lake city;84.7
TN;Hornbeak town;81.8
LA;Hornbeck town;82.4
CA;Hornbrook CDP;79.6
NY;Hornell city;88.8
MO;Hornersville city;76.7
IA;Hornick city;84.2
CA;Hornitos CDP;100
TX;Hornsby Bend CDP;71.4
TN;Hornsby town;81.2
VA;Horntown CDP;73
OK;Horntown town;84.6
KY;Horse Cave city;72.3
VA;Horse Pasture CDP;83.3
NC;Horse Shoe CDP;95.1
NY;Horseheads North CDP;99.2
NY;Horseheads village;93.8
TX;Horseshoe Bay city;97
FL;Horseshoe Beach town;81
TX;Horseshoe Bend CDP;81.7
AR;Horseshoe Bend city;85.5
ID;Horseshoe Bend city;87.5
AR;Horseshoe Lake town;81.3
PA;Horsham CDP;92.2
MI;Horton Bay CDP;92.7
KS;Horton city;89.4
NY;Hortonville CDP;94.5
WI;Hortonville village;94.9
GA;Hoschton city;82.7
FL;Hosford CDP;79.6
NE;Hoskins village;87.4
SD;Hosmer city;78.6
IA;Hospers city;89
LA;Hosston village;78.7
PA;Hostetter CDP;78.5
VA;Hot Springs CDP;84.1
AR;Hot Springs city;85
SD;Hot Springs city;92.7
NM;Hot Springs Landing CDP;67.3
MT;Hot Springs town;88.9
NC;Hot Springs town;60.4
AR;Hot Springs Village CDP;96.2
CO;Hot Sulphur Springs town;93.6
CO;Hotchkiss town;93.6
AZ;Hotevilla-Bacavi CDP;85.2
AZ;Houck CDP;66
NY;Houghton CDP;97
IA;Houghton city;85.5
MI;Houghton city;94.1
MI;Houghton Lake CDP;84
ME;Houlton CDP;88.6
WI;Houlton CDP;85.5
LA;Houma city;79.9
MA;Housatonic CDP;92.7
NM;House village;84.2
PA;Houserville CDP;99.3
KY;Houston Acres city;94.3
PA;Houston borough;90.9
AK;Houston city;90.2
MN;Houston city;88.5
MS;Houston city;69
MO;Houston city;81.2
TX;Houston city;76.7
MO;Houston Lake city;91.6
AR;Houston town;88.2
DE;Houston town;90.2
MO;Houstonia city;73.8
PA;Houtzdale borough;86.9
SD;Hoven town;83.8
PA;Howard borough;94.2
CO;Howard CDP;95.4
GA;Howard CDP;-
OH;Howard CDP;90.4
KS;Howard city;91.3
SD;Howard city;87.7
MI;Howard City village;85.2
NE;Howard City village;89.4
MN;Howard Lake city;87.8
WI;Howard village;93.6
WI;Howards Grove village;98.2
MO;Howardville city;64.6
TX;Howardwick city;80.1
IN;Howe CDP;66.4
OK;Howe town;76.1
TX;Howe town;84.8
MI;Howell city;90.8
UT;Howell town;93.5
NE;Howells village;93.1
FL;Howey-in-the-Hills town;94.4
ME;Howland CDP;85.1
OH;Howland Center CDP;94.9
AR;Hoxie city;82.9
KS;Hoxie city;87
IL;Hoyleton village;89.3
KS;Hoyt city;93.2
MN;Hoyt Lakes city;92.2
UT;Hoytsville CDP;81
OH;Hoytville village;86
AZ;Huachuca City town;89.5
IA;Hubbard city;86
OH;Hubbard city;93.1
OR;Hubbard city;72.4
TX;Hubbard city;87
MI;Hubbard Lake CDP;91.7
NE;Hubbard village;96.7
MI;Hubbardston village;88.6
MI;Hubbell CDP;92
NE;Hubbell village;90.7
OH;Huber Heights city;92.2
OH;Huber Ridge CDP;92.1
PA;Hublersburg CDP;100
TX;Hudson Bend CDP;95.6
FL;Hudson CDP;85.3
MA;Hudson CDP;89.6
NH;Hudson CDP;88.1
PA;Hudson CDP;89.3
IA;Hudson city;97.9
KS;Hudson city;89.5
MI;Hudson city;91.9
NY;Hudson city;80.7
OH;Hudson city;98.2
TX;Hudson city;81.1
WI;Hudson city;97.4
NY;Hudson Falls village;85.7
IN;Hudson Lake CDP;87.9
TX;Hudson Oaks city;92.4
CO;Hudson town;77.8
IN;Hudson town;89.2
NC;Hudson town;88
SD;Hudson town;91.7
WY;Hudson town;91
IL;Hudson village;98.6
MI;Hudsonville city;89.2
ID;Huetter city;72.4
IL;Huey village;89.2
AL;Hueytown city;86.5
AK;Hughes city;92.6
AR;Hughes city;73.3
TX;Hughes Springs city;74.6
PA;Hughestown borough;91
PA;Hughesville borough;92.4
MD;Hughesville CDP;89.3
MO;Hughesville village;84.1
CA;Hughson city;78.1
MN;Hugo city;96.7
OK;Hugo city;73.4
CO;Hugo town;79.1
KS;Hugoton city;83.3
AL;Huguley CDP;79.3
OK;Hulbert town;69.3
WY;Hulett town;77.7
MA;Hull CDP;95.9
TX;Hull CDP;85
GA;Hull city;70.1
IA;Hull city;80.5
IL;Hull village;93.1
PA;Hulmeville borough;92.8
MO;Humansville city;74.3
WI;Humbird CDP;83.8
TX;Humble city;78.5
IA;Humboldt city;91.9
KS;Humboldt city;89
MN;Humboldt city;93.3
NE;Humboldt city;90.9
TN;Humboldt city;81.1
CA;Humboldt Hill CDP;87.5
NV;Humboldt River Ranch CDP;100
SD;Humboldt town;92.5
IL;Humboldt village;84.5
